noise,seed,method,l1_spearman,l2_spearman
0.05,49,HeatGeo,0.8089287754635577,0.8102646576959653
0.05,49,DTNE,0.8611753839517358,0.8887868700078267
0.05,49,EntroPath,0.8750659050576646,0.8945182870309029
0.05,50,Euclidean,0.5211387207425034,
0.05,50,Isomap,0.8101189671660154,0.7474816399671308
0.05,50,Shortest Path,0.8101189671660154,0.7799175640387763
0.05,50,Diffusion Maps,0.4897858040904837,0.9057614370826554
0.05,50,PHATE,0.7918870940785709,0.7776597735940043
0.05,50,HeatGeo,0.7743575834343599,0.730360398063897
0.05,50,DTNE,0.7957827922955472,0.7562938994099152
0.05,50,EntroPath,0.8643897394372864,0.8902146778269014
0.05,51,Euclidean,0.5367129794950029,
0.05,51,Isomap,0.821769292876168,0.7627443419119471
0.05,51,Shortest Path,0.821769292876168,0.7815987072267365
0.05,51,Diffusion Maps,0.4667829555175486,0.8857166555297169
0.05,51,PHATE,0.7648052645519459,0.7499102048231324
0.05,51,HeatGeo,0.7619959648953607,0.7183283371813536
0.05,51,DTNE,0.7794244275072972,0.7360782360827561
0.05,51,EntroPath,0.8497198081728552,0.8113320128660427
0.05,52,Euclidean,0.5320629443528071,
0.05,52,Isomap,0.766861525106397,0.6528345308570201
0.05,52,Shortest Path,0.766861525106397,0.6500762191726495
0.05,52,Diffusion Maps,0.5352402777214433,0.9293958962341532
0.05,52,PHATE,0.766268463000269,0.7795191769826356
0.05,52,HeatGeo,0.7539153329104492,0.6875313209382469
0.05,52,DTNE,0.8391662939765678,0.8719030154461616
0.05,52,EntroPath,0.8875765366692355,0.9072564310090482
0.05,53,Euclidean,0.5545461985730102,
0.05,53,Isomap,0.8157676719658629,0.7495509465055351
0.05,53,Shortest Path,0.8157676719658629,0.7715981193089039
0.05,53,Diffusion Maps,0.4823988421718367,0.9097360022308453
0.05,53,PHATE,0.7949132635829927,0.7859579864722153
0.05,53,HeatGeo,0.7849242037212301,0.7391056171884742
0.05,53,DTNE,0.8064577578759351,0.7748686086436612
0.05,53,EntroPath,0.8665839923535342,0.8379313969987997
0.05,54,Euclidean,0.5251705904754179,
0.05,54,Isomap,0.8691223367982791,0.845536586883532
0.05,54,Shortest Path,0.8691223367982791,0.8824636940557365
0.05,54,Diffusion Maps,0.5022175957565871,0.9097223745881952
0.05,54,PHATE,0.8409114279677378,0.8560775146875239
0.05,54,HeatGeo,0.8123801061934872,0.8288385053134675
0.05,54,DTNE,0.8826384894564401,0.9002207773428756
0.05,54,EntroPath,0.9111078128268338,0.9229658534620164
0.05,55,Euclidean,0.5304612812186874,
0.05,55,Isomap,0.8215067156919301,0.755564837457768
0.05,55,Shortest Path,0.8215067156919301,0.7951744408442961
0.05,55,Diffusion Maps,0.486158991947926,0.897820490092644
0.05,55,PHATE,0.7981935041755112,0.7843487531671242
0.05,55,HeatGeo,0.7845441524395833,0.7468432533646703
0.05,55,DTNE,0.8123822435639743,0.8026419265060458
0.05,55,EntroPath,0.8622269904531846,0.8658892677675175
0.05,56,Euclidean,0.5149164287181128,
0.05,56,Isomap,0.850237079872519,0.8118613218809105
0.05,56,Shortest Path,0.850237079872519,0.8638420198898249
